Model,Smote,Accuracy
PRF,0,98
PRF,1,95
GNB,0,75
GNB,1,72
KNN,0,90
KNN,1,82
SVC-POLY,0,84
SVC-POLY,1,90
SVC-RBF,0,82
SVC-RBF,1,82
RF,0,93
RF,1,92
