,Umag,Bmag,Vmag,Imag,Jmag,Hmag,Ksmag,[3.6],[4.5],[5.8],[8.0],[24],SpClass
57,-1.8363246246862723,-1.1584070102846293,-1.0783806017783804,1.0580789547106755,1.0754438244439282,-1.293999999999998,-4.503,-9.8427,-11.2036,-12.3194,-13.3093,-15.3545,CAGB
58,-3.685000000000001,-3.278,-3.6220000000000008,-3.923000000000001,-4.286000000000001,-4.377000000000002,-4.561000000000001,-5.402000000000001,-6.022,-8.346,-10.833,-14.048000000000002,PAGB
59,-1.330048909771325,-1.342499822831068,-1.7625072750726278,-1.5802792613687937,-1.9029999999999976,-2.784,-3.923000000000001,-7.1678,-7.7127,-10.1368,-12.0169,-15.1868,PAGB
60,0.8611006344230385,0.12762584651711184,-1.0122575129616305,-3.4315614307845466,-5.303,-6.813999999999999,-7.741333779642569,-9.4758,-10.3122,-11.1131,-11.9132,-13.3324,CAGB
61,1.5379999999999996,0.3220000000000012,-1.4789999999999996,-4.736999999999999,-6.362999999999999,-7.163999999999999,-7.513,-7.7448,-7.687699999999999,-7.8406,-8.037899999999999,-9.2434,OAGB
62,-5.941999999999999,-5.417999999999999,-6.430000000000001,-6.751879303796647,-6.383117079558563,-7.534920031342259,-9.169215940730638,-11.6619,-11.633,-11.9477,-12.4066,-14.4425,RSG
63,0.601000000000002,0.965000000000002,-0.4010000000000002,-5.706,-8.073,-8.784,-9.364388908970522,-9.9062,-10.2322,-10.4418,-10.7743,-12.203399999999998,OAGB
64,0.24064997522651543,0.12953941339793285,0.17616241289279477,1.114898193614041,0.5569999999999994,-0.8939999999999995,-2.003000000000001,-4.181899999999999,-5.2179,-6.400399999999999,-7.917479779144228,-13.118,YSO
65,2.009138045801007,1.1609999999999998,-3.2979999999999987,-4.371,-5.422999999999999,-6.454,-7.2429999999999986,-8.1091,-8.259,-8.4269,-8.6851,-9.527675780207584,CAGB
66,0.6419999999999996,0.1359999999999995,-1.0539999999999994,-1.871000000000001,-4.596,-6.067000000000001,-7.521000000000002,-9.537,-10.204,-10.696000000000002,-11.245,-11.824000000000002,CAGB
67,0.42968597951299214,0.0038538475999472244,-1.421299703732657,-3.1027660289685763,-4.533,-5.964,-7.162999999999999,-8.6866,-9.0452,-9.3655,-9.6458,-10.1886,CAGB
68,-2.951999999999999,-4.388,-6.180000000000001,-6.518146383555566,-6.103965559950537,-7.318324003915683,-8.306725196935812,-10.2801,-10.1384,-10.3693,-10.6088,-11.717,RSG
69,1.1598380715919787,1.1533445751457834,0.24750364022309612,-0.9648172551223451,-2.922999999999999,-5.264,-7.392999999999999,-10.1923,-11.2551,-12.0408,-12.7519,-13.945799999999998,CAGB
70,0.9612686259447059,1.0542810833986007,-0.09305981638020722,-1.6849201319317522,-3.682999999999999,-5.653999999999999,-7.423,-9.5848,-10.4092,-11.2195,-11.8965,-12.9813,CAGB
71,1.197000000000002,0.8830000000000011,0.627000000000002,-0.3799999999999994,-1.722999999999998,-3.0039999999999987,-4.232999999999999,-5.7241,-6.4034,-7.1912,-8.252799999999999,-12.0506,YSO
72,-2.0675989488493305,-0.9284833459367616,-1.0517464509409695,0.052374999016475576,0.0681437239747611,-1.3239999999999992,-3.322999999999999,-6.9674,-8.145299999999999,-9.4752,-10.6506,-15.2688,YSO
73,-3.774000000000001,-3.6230000000000007,-3.661000000000001,-3.4910000000000005,-3.296000000000001,-3.707000000000001,-3.641000000000001,-5.251121103286527,-5.8050000000000015,-7.505000000000001,-9.055,-15.294,YSO
74,1.7106705709500907,1.0310000000000008,-0.585999999999999,-4.13,-5.992999999999999,-7.434,-8.506969693395572,-9.8314,-10.1105,-10.3393,-10.5866,-11.3841,CAGB
75,-0.5580000000000005,-0.961,-2.3140000000000005,-6.466,-8.033000000000001,-8.684000000000001,-8.948092118454543,-9.4939,-9.5496,-9.8382,-10.064,-11.363,OAGB
76,-1.8577797564347684,-1.3733383287388066,-1.4354085227214695,-0.06222971596483873,0.326999999999999,-0.2640000000000004,-1.3230000000000006,-3.937299999999999,-4.7836,-6.086399999999999,-7.694799999999999,-12.9621,YSO
77,-3.05,-2.296000000000001,-3.684,-4.501,-6.012999999999999,-7.044,-8.033,-9.7678,-10.3968,-10.9816,-11.5704,-13.4577,CAGB
78,2.0349999999999997,-0.9569999999999989,-2.491,-4.617999999999999,-6.102999999999999,-7.044,-7.4929999999999986,-8.2236,-8.087,-8.2533,-8.4762,-8.724321050273915,CAGB
79,-2.756999999999999,-4.736000000000001,-6.619000000000001,-7.060072034347202,-6.435983478709377,-7.848627125974503,-9.030905446593096,-11.5372,-11.5204,-11.7735,-12.275099999999998,-14.5002,RSG
80,2.103736879006536,2.479000000000001,1.4589999999999992,-0.7820000000000005,-4.102999999999999,-5.794,-7.322999999999999,-8.818,-9.5847,-10.1917,-10.753799999999998,-11.6916,CAGB
81,-5.684,-6.872,-8.668,-8.321563096535812,-7.231406692096878,-8.903395687419657,-10.716491747950752,-14.0292,-13.8579,-14.0362,-14.110499999999998,-14.3218,RSG
82,-2.986511984559986,0.11260882742029499,-0.6886186300526618,-0.9065234652240275,-1.472999999999998,-2.363999999999998,-4.763,-8.0521,-9.3772,-10.7144,-11.845,-16.834,YSO
83,-1.281361315494419,-1.2816665455301057,-1.4952430728447346,-1.5038586819089974,-1.8738988977286521,-3.117499430462221,-4.6110000000000015,-8.531,-9.969,-11.261,-12.278,-14.184,CAGB
84,0.3560000000000009,-0.124999999999998,-2.4439999999999995,-5.357,-7.153,-8.114,-8.652999999999999,-9.3021,-9.2204,-9.307,-9.7696,-10.1878,CAGB
85,-1.0041934815319764,-1.907,-3.631000000000001,-6.085000000000002,-7.176,-7.747000000000001,-8.411,-10.16,-10.473,-10.692,-11.493000000000002,-14.226,OAGB
86,-2.108000000000001,-3.176,-5.393,-6.365095095400637,-6.234333853260047,-7.611579238244338,-8.976760019449557,-11.1853,-11.1848,-11.4593,-12.0051,-14.6395,RSG
87,-4.358999999999999,-2.578000000000001,-3.0629999999999997,-4.417000000000001,-3.953,-4.694,-5.212999999999999,-7.0612,-7.5596,-9.5713,-11.2451,-17.015111180628914,YSO
88,-0.7634507099841152,-1.3031485121133934,-2.5514050553417595,-4.1828954875007,-5.092999999999999,-6.423999999999999,-7.802999999999999,-10.1118,-10.6747,-11.1811,-12.1342,-14.7534,OAGB
